X	Y
163.12099999999998	151.694
340.091	64.422
166.75800000000004	155.33100000000005
342.515	75.331
181.303	155.33100000000005
346.1510000000002	78.967
172.81799999999998	154.119
346.1510000000002	80.179
189.788	154.119
355.8489999999998	76.543
211.606	156.543
380.091	85.02799999999998
223.72699999999998	141.997
439.485	78.967
239.485	129.876
460.091	61.997
240.697	145.634
468.576	66.846
267.3639999999998	128.664
495.24199999999996	77.755
273.424	139.57299999999998
513.424	68.058
286.75800000000004	139.57299999999998
530.394	80.179
275.8489999999998	144.422
526.758	76.543
302.515	137.149
542.515	76.543
330.3939999999999	137.149
553.424	82.604
349.788	157.755
563.121	87.45200000000001
357.06100000000004	157.755
570.394	92.301
371.6060000000001	160.179
580.091	99.573
354.6360000000002	162.60399999999996
582.515	92.301
354.6360000000002	162.60399999999996
586.151	88.664
369.182	180.785
584.939	93.513
414.03	188.058
603.1210000000001	111.694
410.3939999999999	183.21
603.1210000000001	103.21
428.576	189.27
622.5150000000001	109.27
427.3639999999998	203.816
639.4849999999999	117.755
462.515	219.573
652.818	125.028
468.576	212.301
667.364	118.967
484.33299999999997	214.725
673.424	132.30100000000002
491.606	217.149
677.0609999999999	127.452
519.485	217.149
692.818	137.149
530.394	217.149
702.5150000000001	146.846
527.97	214.725
718.2729999999999	144.422
532.818	212.301
709.788	140.785
571.606	223.21
737.6669999999999	137.149
600.6969999999999	220.785
717.0609999999999	149.27
600.6969999999999	230.482
720.6969999999999	150.482
632.212	218.361
719.4849999999999	135.937
635.8489999999999	201.391
721.9090000000001	131.088
641.9090000000001	200.179
732.818	131.088
651.606	201.391
724.3330000000001	131.088
656.4549999999999	186.846
720.6969999999999	122.604
651.606	189.27
721.9090000000001	116.543
650.394	186.846
719.4849999999999	127.452
644.3330000000001	191.694
718.2729999999999	129.876
644.3330000000001	188.058
717.0609999999999	125.028
635.8489999999999	197.755
718.2729999999999	121.391
628.576	181.997
717.0609999999999	111.694
626.1510000000001	175.937
718.2729999999999	108.058
611.606	172.301
723.1210000000001	103.21
597.0609999999999	173.513
732.818	104.422
597.0609999999999	173.513
730.394	98.361
591.0	179.57299999999995
742.5150000000001	99.573
584.939	175.937
737.6669999999999	100.785
581.303	178.361
740.0909999999999	105.634
571.606	181.997
737.6669999999999	105.634
569.182	181.997
734.03	104.422
571.606	186.846
744.9390000000001	104.422
571.606	181.997
741.3030000000001	106.846
554.636	189.27
746.1510000000001	109.27
541.303	200.179
726.758	97.149
532.818	205.028
746.1510000000001	97.149
518.273	213.513
752.212	110.482
503.727	228.058
742.5150000000001	118.967
501.303	220.785
752.212	112.907
487.97	223.21
738.8789999999999	118.967
475.84900000000005	219.573
729.182	128.664
464.93899999999996	223.21
719.4849999999999	139.57299999999998
461.303	224.422
715.848	155.33100000000005
457.6669999999998	226.846
721.9090000000001	143.21
446.75800000000004	225.634
702.5150000000001	155.33100000000005
445.54499999999996	225.634
674.636	144.422
431.0	232.907
669.788	152.907
431.0	229.27
674.636	154.119
421.303	238.967
662.5150000000001	148.058
404.3330000000002	252.301
632.212	139.57299999999998
392.212	254.725
629.788	132.30100000000002
371.6060000000001	270.482
612.818	140.785
369.182	275.331
606.758	154.119
364.3330000000002	271.694
604.3330000000001	152.907
347.3639999999998	275.331
592.212	151.694
340.091	277.755
575.242	161.391
326.75800000000004	278.967
576.455	161.391
327.97	276.543
566.758	169.87599999999995
320.697	274.119
551.0	172.301
303.727	268.058
526.758	172.301
294.03	278.967
515.849	178.361
277.06100000000004	283.816
506.15099999999995	185.634
271.0	285.028
492.818	190.482
275.8489999999998	286.24
487.97	192.907
247.97000000000003	283.816
467.36400000000003	196.543
243.1210000000002	295.937
457.6669999999998	185.634
231.0	292.3
432.212	191.694
232.212	287.452
445.54499999999996	185.634
218.87900000000002	294.725
412.818	181.997
199.485	298.361
412.818	185.634
193.42399999999998	293.513
393.424	186.846
188.57600000000002	292.3
378.8789999999998	198.967
174.02999999999997	306.846
365.54499999999996	201.391
178.87900000000002	305.634
363.1210000000002	196.543
163.12099999999998	316.543
340.091	209.876
147.36400000000003	315.331
317.06100000000004	209.876
140.091	322.6040000000001
315.8489999999998	214.725
132.81799999999998	318.967
320.697	215.937
130.394	327.452
323.1210000000002	209.876
126.75800000000004	321.391
329.182	220.785
125.54499999999996	321.391
315.8489999999998	248.664
117.06100000000004	318.967
287.97	263.21
113.42399999999998	321.391
286.75800000000004	258.361
111.0	321.391
264.93899999999996	261.997
111.0	314.119
257.6669999999998	266.846
120.697	318.967
233.42399999999998	269.27
124.3330000000002	321.391
191.0	260.785
126.75800000000004	320.1790000000001
209.18200000000002	261.997
123.12099999999998	321.391
199.485	265.634
129.18200000000002	332.301
212.81799999999998	266.846
120.697	335.9369999999999
214.02999999999997	271.694
141.303	329.876
223.72699999999998	275.331
136.45500000000004	337.149
227.3639999999998	271.694
147.36400000000003	337.149
232.212	274.119
160.697	352.907
231.0	276.543
152.212	348.05800000000005
234.6360000000002	270.482
160.697	337.149
239.485	261.997
161.909	332.301
240.697	246.24
163.12099999999998	327.452
233.42399999999998	243.816
166.75800000000004	299.573
238.27300000000002	232.907
167.97000000000003	298.361
226.15100000000018	221.997
169.18200000000002	278.967
223.72699999999998	207.452
159.485	268.058
229.788	205.028
159.485	270.482
232.212	203.816
144.93899999999996	246.24
246.75800000000004	178.361
138.87900000000002	255.937
256.45500000000004	163.816
141.303	255.937
268.576	167.452
142.515	259.573
273.424	163.816
151.0	275.331
283.1210000000002	162.60399999999996
160.697	282.6040000000001
291.6060000000001	173.513
159.485	265.634
292.818	185.634
182.515	254.725
281.909	192.907
184.93899999999996	247.452
297.6669999999998	184.422
182.57500000000005	247.389
298.24699999999996	187.9
179.26999999999998	253.999
281.7230000000002	187.9
183.67700000000002	250.694
276.21500000000003	191.205
180.37199999999996	255.1
261.89300000000003	194.51
171.55899999999997	256.202
259.69000000000005	191.205
179.26999999999998	251.795
260.7919999999998	198.917
172.65999999999997	251.795
257.48699999999997	200.018
166.04999999999995	250.694
243.16499999999996	200.018
166.04999999999995	260.60900000000004
238.7589999999999	206.628
162.74599999999998	252.897
231.04700000000003	207.73
161.644	257.30400000000003
231.04700000000003	208.831
147.32299999999998	256.202
225.539	205.527
139.611	269.422
225.539	203.323
133.00099999999998	272.72700000000003
227.74199999999996	193.408
135.20500000000004	268.32
229.94600000000003	196.713
133.00099999999998	259.507
222.2339999999998	196.713
130.798	262.812
223.336	196.713
136.30600000000004	253.999
213.42099999999982	200.018
138.50900000000001	250.694
202.40499999999997	193.408
138.50900000000001	251.795
200.20100000000002	193.408
133.00099999999998	259.507
195.79499999999996	189.002
133.00099999999998	259.507
196.89599999999996	192.307
140.7130000000002	257.30400000000003
200.20100000000002	192.307
140.7130000000002	266.117
205.71000000000004	186.799
137.40800000000002	260.60900000000004
209.015	193.408
138.50900000000001	257.30400000000003
207.913	191.205
139.611	261.71
209.015	186.799
146.221	259.507
205.71000000000004	190.104
146.221	265.015
213.42099999999982	189.002
140.7130000000002	263.914
211.2180000000002	191.205
146.221	268.32
214.52300000000002	186.799
148.42399999999998	266.117
214.52300000000002	195.612
146.221	271.625
211.2180000000002	196.713
147.32299999999998	268.32
211.2180000000002	197.815
144.01800000000003	266.117
207.913	195.612
148.42399999999998	271.625
210.11599999999999	191.205
152.83100000000002	268.32
210.11599999999999	193.408
151.72900000000004	263.914
214.52300000000002	196.713
141.81399999999996	261.71
209.015	189.002
139.611	260.60900000000004
215.62400000000002	193.408
146.221	255.1
210.11599999999999	182.392
152.83100000000002	248.491
214.52300000000002	184.595
398.049	161.196
576.274	93.11
399.05100000000004	156.189
568.264	89.105
387.03499999999997	163.19799999999995
565.26	93.11
393.043	157.191
571.268	91.107
395.04499999999996	155.188
558.251	91.107
418.07399999999996	157.191
549.24	71.082
419.076	155.188
555.247	62.07100000000001
417.073	140.16899999999998
561.255	39.042
416.072	137.165
554.246	38.04
353.9939999999998	70.081
542.231	6.0
288.9119999999998	70.081
506.18600000000004	6.0
270.8889999999999	76.08800000000002
444.10699999999997	8.003
270.8889999999999	72.083
455.1210000000002	10.005
241.85199999999998	83.09700000000002
399.05100000000004	15.011
206.808	108.129
350.99	25.024
181.77599999999995	118.141
313.943	43.047
152.74	121.145
288.9119999999998	64.07300000000001
133.716	125.15
274.8939999999999	67.077
132.71500000000003	122.146
278.8989999999999	67.077
129.711	136.164
241.85199999999998	71.082
128.71000000000004	138.167
201.80200000000002	79.092
135.7180000000002	139.168
184.77999999999997	87.102
134.71699999999998	137.165
183.779	90.106
133.716	147.178
175.769	91.107
121.71000000000004	144.17700000000005
169.76099999999997	93.11
122.71100000000001	148.18200000000004
174.77599999999995	98.119
128.7180000000002	149.183
187.793	95.115
124.71300000000019	150.184
189.79499999999996	96.116
124.71300000000019	149.183
188.79399999999998	104.126
140.73400000000004	154.189
200.80899999999997	105.128
146.74099999999999	155.191
199.808	109.133
144.73900000000003	154.189
198.80700000000002	104.126
142.736	155.191
203.813	102.124
162.76099999999997	147.181
205.81600000000003	104.126
170.77099999999996	152.187
205.81600000000003	106.129
178.7819999999998	150.184
217.83100000000002	111.135
180.779	146.184
220.83000000000004	109.138
181.77999999999997	152.192
230.84199999999998	108.136
182.7819999999998	150.189
236.85000000000002	106.134
184.784	158.19899999999996
228.84000000000003	107.135
184.784	156.197
232.84500000000003	120.152
185.78499999999997	161.203
229.841	124.157
186.7869999999998	166.21
